NA	DEV-200001	neutral	won the match #getin . plus , tomorrow is a very busy day , with awareness day’s and debates . gulp . debates ...
NA	DEV-200002	neutral	some areas of new england could see the first flakes of the season tuesday .
NA	DEV-200003	negative	AT_USER 2nd worst qb . definitely tony romo . the man who likes to share the ball with everyone . including the other team .
NA	DEV-200004	neutral	#thailand washington - us president barack obama vowed wednesday as he visited storm-ravaged new jersey shore to ... HTTP_LINK
NA	DEV-200005	neutral	did y’all hear what tony romo dressed up as for halloween ? a giants quaterback ! cause that’s all he could throw to sunday night .
NA	DEV-200006	positive	tim tebow may be availible ! wow jerry , what the heck you waiting for ! HTTP_LINK
NA	DEV-200007	positive	AT_USER aga tayo tomorrow ah . EMOTICON_HAPPY good night , ces . love you ! >EMOTICON_HAPPY <
NA	DEV-200008	neutral	tina fey & amy poehler are hosting the golden globe awards on january 13 . what do you think ?
NA	DEV-200009	positive	lunch from my new lil spot ... the cotton bowl ... pretty good #1st #time #will be going back# HTTP_LINK
NA	DEV-200010	positive	snc halloween pr . pumped . let’s work it for sunday ... packers vs ... who knows or caresn . #snc #cheerpracticeonhalloween
NA	DEV-200011	negative	AT_USER i’m sorry , i hea paris is no longer available at the rockwell branch ! you may call 8587000 to get a copy transferred ! EMOTICON_HAPPY
NA	DEV-200012	neutral	manchester united will try to return to winning ways when they face arsenal in the premier league at old trafford on saturday .
NA	DEV-200013	neutral	going to a bulls game with aaliyah & hope next thursday
NA	DEV-200014	neutral	any toon fans with a spare ticket for anfield on sunday ? willing to pay extra #nufc
NA	DEV-200015	positive	louis inspired outfit on monday and zayn inspired outfit today .. 4/5 done just need harry EMOTICON_HAPPY
NA	DEV-200016	neutral	going to bed now ... rose parade then game tomorrow
NA	DEV-200017	neutral	AT_USER oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :p
NA	DEV-200018	positive	i love the banner that was unfurled in the united end last night . it read : " chelsea - standing up against racism since sunday "
NA	DEV-200019	positive	#repost chris bosh may be ugly . but he has a gorgeous wife and adorbs baby . i want to be happy like them one HTTP_LINK
NA	DEV-200020	negative	AT_USER is this one of your little jokes like elvis playing at the marquee next tuesday ?
NA	DEV-200021	positive	gary ablett wins the aflpa mvp for the 4th time in his career . he should have staed his speech with- " yeah , i’d ... HTTP_LINK
NA	DEV-200022	negative	gold edges down ahead of us jobs data : singapore ( reuters ) - gold edged lower on friday , with investors waiting for ... HTTP_LINK
